Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year,Last_Update
102,Halo: Reach,X360,Microsoft Game Studios,Bungie,9.3,,9.97,2010,11th Oct 18
103,Portal,PC,Valve Corporation,Valve Software,9,,9.97,2008,
104,Halo 4,X360,Microsoft Studios,343 Industries,9.8,,9.96,2012,
105,Final Fantasy VII,PS,Sony Computer Entertainment,SquareSoft,9.6,9.5,9.9,1997,23rd Mar 19
106,Mario Kart 64,N64,Nintendo,Nintendo EAD,8.5,,9.87,1997,
107,Super Smash Bros. for 3DS,3DS,Nintendo,Bandai Namco Games,8.4,,9.59,2014,11th Apr 18
108,Call of Duty 4: Modern Warfare,X360,Activision,Infinity Ward,9.6,9,9.41,2007,
109,Gran Turismo 2,PS,Sony Computer Entertainment,Polyphony Digital,9.2,,9.37,1999,
110,Wii Party,Wii,Nintendo,"Nd Cube Co., Ltd.",7,,9.34,2010,
111,Call of Duty: Black Ops IIII,PS4,Activision,Treyarch,,,9.32,2018,07th Nov 18
112,Mario Party DS,DS,Nintendo,Hudson Soft,7.1,,9.31,2007,
113,Donkey Kong Country,SNES,Nintendo,Rare Ltd.,9,,9.3,1994,
114,Half-Life,PC,Sierra Entertainment,Valve Software,9.5,,9.3,1998,
115,Uncharted 3: Drake's Deception,PS3,Sony Computer Entertainment,Naughty Dog,9.3,6.3,9.3,2011,
116,FIFA 19,PS4,Electronic Arts,EA Sports,8.3,1.7,9.15,2018,12th Sep 18
117,Rust,PC,Facepunch Studios,Facepunch Studios,6.1,6.2,9.02,2018,19th Mar 18
118,The Elder Scrolls V: Skyrim,X360,Bethesda Softworks,Bethesda Game Studios,9.3,,8.88,2011,01st Apr 18
119,Mario Party 8,Wii,Nintendo,Hudson Soft,6.5,,8.85,2007,
120,Pokemon: Ultra Sun and Ultra Moon,3DS,Nintendo,Game Freak,8.1,,8.77,2017,03rd Aug 18
121,Super Mario Kart,SNES,Nintendo,Nintendo EAD,10,,8.76,1992,
122,Grand Theft Auto V,XOne,Rockstar Games,Rockstar North,9,9,8.72,2014,11th Apr 18
123,Final Fantasy VIII,PS,Square EA,SquareSoft,9.4,,8.6,1999,
124,Final Fantasy X,PS2,Square,SquareSoft,9,10,8.6,2001,
125,Pokemon Black 2 and White 2,DS,Nintendo,Game Freak,8,8.3,8.52,2012,25th Feb 18
126,Call of Duty: Infinite Warfare,PS4,Activision,Infinity Ward,7.7,3.8,8.48,2016,14th Jan 18
127,Fallout 4,PS4,Bethesda Softworks,Bethesda Game Studios,8.6,6.6,8.48,2015,24th Mar 18
128,Mario Kart 8,WiiU,Nintendo,Nintendo,8.8,8.9,8.45,2014,01st Feb 18
129,Tekken 3,PS,Namco,Namco,9.6,,8.3,1998,
