Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year,Last_Update
3763,The Urbz: Sims in the City,GBA,Electronic Arts,Griptonite Games,8,,0.62,2004,
3764,Disney's 102 Dalmatians: Puppies to the Rescue,PS,Eidos Interactive,Toys for Bob,,,0.62,2000,
3765,South Park: The Fractured But Whole,XOne,Ubisoft,Ubisoft San Francisco,8.4,7.7,0.62,2017,06th Apr 18
3766,Strike Force Bowling,PS2,Crave Entertainment,Lab Rats Games,4,,0.62,2004,
3767,DJ Hero 2,Wii,Activision,FreeStyle Games,8.7,,0.62,2010,
3768,The Black Eyed Peas Experience,Wii,Ubisoft,Ubisoft,,,0.62,2011,
3769,F1 2017,PS4,Deep Silver,Codemasters,8.6,7.6,0.62,2017,23rd May 18
3770,Bolt,DS,Disney Interactive Studios,Avalanche Software,4.5,,0.62,2008,
3771,Halloween,2600,Unknown,Wizard Video Games,,,0.62,1983,
3772,Start the Party!,PS3,Sony Computer Entertainment,Supermassive Games Ltd.,6.1,,0.62,2010,
3773,Bass Landing,PS,Agetec,ASC Games,7.7,,0.62,2000,
3774,Shellshock: Nam 67,PS2,Eidos Interactive,Guerrilla Games,,,0.62,2004,03rd Feb 18
3775,Pixel Piracy,PC,Re-Logic,Quadro Delta,,,0.62,2015,09th Aug 18
3776,Mario's Picross,GB,Nintendo,Jupiter Multimedia,,,0.62,1995,
3777,Pac-Man Player's Choice Bundle,GC,Namco,Namco,,,0.62,2003,
3778,Tousouchuu: Shijou Saikyou no Hunter-Tachi Kara Nigekire!,3DS,Namco Bandai Games,Infinity,,,0.62,2012,16th Mar 18
3779,Prince of Persia: The Forgotten Sands,X360,Ubisoft,Ubisoft Montreal,7.5,,0.62,2010,
3780,NHL 15,PS4,EA Sports,EA Canada,6,3.7,0.62,2014,10th Jan 18
3781,Fighters MEGAMiX,SAT,Sega,Sega-AM2,,,0.62,1997,
3782,Bahamut Lagoon,SNES,Square,SquareSoft,,,0.62,1996,
3783,Tomb Raider III: Adventures of Lara Croft,PC,Eidos Interactive,Core Design Ltd.,7.3,,0.62,1998,
3784,Phoenix Wright: Ace Attorney - Trials and Tribulations,DS,Capcom,Capcom,7.9,,0.62,2007,
3785,Battle of Giants: Dragons,DS,Ubisoft,Ubisoft Quebec,7.2,,0.62,2009,
3786,Harry Potter and the Half-Blood Prince,DS,Electronic Arts,Bright Light Productions,4.3,,0.62,2009,
3787,Dragon Quest Monsters: Joker 2 Professional,DS,Square Enix,TOSE Software,,,0.62,2011,
3788,NFL Quarterback Club 99,N64,Acclaim Entertainment,Iguana Entertainment,,,0.62,1998,
3789,Super Robot Taisen ?ñ Gaiden,PS,Banpresto,Banpresto,,,0.62,2001,
3790,Pac-Man Party,Wii,Namco Bandai,Namco Bandai Games,,,0.62,2010,
3791,Wall-E,X360,THQ,Heavy Iron Studios,5.3,,0.62,2008,
3792,Tiger Woods PGA Tour 12: The Masters,X360,EA Sports,EA Tiburon,8,,0.62,2011,
3793,SpongeBob's Atlantis SquarePantis,Wii,THQ,Blitz Games,5.3,,0.62,2007,
3794,NBA 2K9,PS3,2K Sports,Visual Concepts,8.3,,0.62,2008,
3795,Dragon Ball Z: Ultimate Tenkaichi,PS3,Namco Bandai,Spike,5,,0.62,2011,
3796,Wet,PS3,Bethesda Softworks,Artificial Mind and Movement,6.9,,0.62,2009,
3797,Formula 1: Championship Edition,PS3,Sony Computer Entertainment,Studio Liverpool,,,0.61,2007,16th Sep 18
3798,WWE SmackDown vs. Raw 2010,PSP,THQ,Yuke's,7.2,,0.61,2009,
3799,SingStar Singalong With Disney,PS2,Sony Computer Entertainment,SCEE London Studio,,,0.61,2008,
3800,Fire Emblem: Shadow Dragon,DS,Nintendo,Intelligent Systems,8.2,,0.61,2009,
3801,Metroid Prime: Trilogy,Wii,Nintendo,Retro Studios,9,9.6,0.61,2009,
3802,NFL Fever 2003,XB,Microsoft Game Studios,Microsoft Game Studios,7.7,,0.61,2002,
3803,Vanquish,PS3,Sega,PlatinumGames,8.5,,0.61,2010,
3804,Samurai Warriors 2,PS2,KOEI,Omega Force,5.6,,0.61,2006,
3805,Advance Wars: Days of Ruin,DS,Nintendo,Intelligent Systems,8.4,,0.61,2008,
3806,2 Games in 1: Sonic Battle & ChuChu Rocket!,GBA,THQ,Sonic Team,,,0.61,2005,
3807,Just Dance 2015,X360,Ubisoft,Ubisoft Paris,,,0.61,2014,03rd Apr 18
3808,Robotech: Battlecry,PS2,TDK Mediactive,Vicious Cycle,8.2,,0.61,2002,
3809,WWE 2K15,XOne,2K Sports,Visual Concepts,5.6,5.5,0.61,2014,06th Jan 18
3810,Dora the Explorer: Super Spies,GBA,Gotham Games,Cinegroupe,,,0.61,2004,
3811,Sacred 2: Fallen Angel,PS3,CDV Software Entertainment,Ascaron Entertainment,7.1,,0.61,2009,
3812,Dynasty Warriors 8,PS3,Tecmo Koei,Omega Force,8.7,,0.61,2013,31st Dec 17
3813,Skylanders SWAP Force,WiiU,Activision,Unknown,,,0.61,2013,20th Mar 18
3814,Texas Hold 'Em Poker,GBA,Majesco,Skyworks Technologies,,,0.61,2004,
3815,Time Crisis 3,PS2,Namco,Namco,8.4,,0.61,2003,
3816,Knowledge is Power,PS4,Sony Interactive Entertainment,Wish Studio,7.1,7.5,0.61,2017,07th Apr 18
3817,Ganbaru Watashi no Kakei Diary,DS,Nintendo,syn Sophia,,,0.61,2007,
3818,Rayman Legends,PS3,Ubisoft,Ubisoft Montpellier,9.5,,0.61,2013,20th Mar 18
3819,Tony Hawk: RIDE,X360,Activision,Robomodo / Buzz Monkey Software,4.4,,0.61,2009,
3820,Small Soldiers,PS,Electronic Arts,DreamWorks Interactive,7.2,,0.61,1998,
3821,Half-Life 2,XB,Electronic Arts,Valve Software,8.9,,0.61,2005,
3822,Duke Nukem: Total Meltdown,PS,GT Interactive,Aardvark Software,7,,0.61,1997,
3823,Machinarium,PC,Amanita Design,Amanita Design,8,,0.61,2009,
3824,Cabela's Monster Buck Hunter,Wii,Activision,FUN Labs,,,0.61,2010,
3825,Major League Baseball 2K8,X360,2K Sports,Kush Games,7.4,,0.61,2008,
3826,New Play Control! Pikmin 2,Wii,Nintendo,Nintendo EAD,8.7,,0.61,2012,
3827,Pro Evolution Soccer 2011,X360,Konami,Konami,6,,0.61,2010,
3828,Major League Baseball 2K9,X360,2K Sports,Visual Concepts,6.8,,0.61,2009,
3829,World of Zoo,Wii,THQ,Blue Fang Games,,,0.61,2009,
3830,Final Fantasy IV Advance,GBA,Square Enix,Square Enix,8.6,,0.61,2005,
3831,Madden NFL 2003,GBA,EA Sports,BudCat Creations,8.2,,0.61,2002,
3832,EA Sports UFC 2,XOne,EA Sports,EA Canada,7.6,5.6,0.61,2016,20th Apr 18
3833,Petz: Dogz Pack,DS,Ubisoft,Ubisoft,,,0.61,2008,
3834,Harry Potter and the Goblet of Fire,GBA,Electronic Arts,Magic Pockets,6,,0.61,2005,
3835,Tomb Raider Chronicles,PS,Eidos Interactive,Core Design Ltd.,,,0.61,2000,
3836,Dragon Ball Z: Buu's Fury,GBA,Atari,Webfoot Technologies,5.9,,0.61,2004,
3837,Madden NFL 2002,GC,EA Sports,EA Sports,8.6,,0.61,2001,
3838,James Cameron's Avatar: The Game,PSP,Ubisoft,Ubisoft Montreal,3.9,,0.61,2009,
3839,MySims Racing,DS,Electronic Arts,Artificial Mind and Movement,,,0.61,2009,
3840,Tony Hawk: RIDE,PS3,Activision,Robomodo / Buzz Monkey Software,4.5,,0.61,2009,
3841,Spider-Man: Mysterio's Menace,GBA,Activision,Vicarious Visions,8.5,,0.61,2001,
3842,Madden NFL 2000,N64,EA Sports,EA Tiburon,8.4,,0.61,1999,
3843,Game & Watch Gallery 4,GBA,Nintendo,Nintendo,6.4,,0.61,2002,
3844,Naruto: Ultimate Ninja (US sales),PS2,Namco Bandai Games,CyberConnect2,,,0.61,2008,
3845,New Carnival Games,Wii,2K Games,Cat Daddy Games,,,0.61,2010,
3846,Wipeout: The Game,DS,Activision,Endemol,,,0.61,2010,
3847,Dragon Age: Inquisition,PS3,Electronic Arts,BioWare Edmonton,,,0.61,2014,05th Jan 19
3848,Tony Hawk's Underground,GBA,Activision,Vicarious Visions,9.5,,0.6,2003,
3849,Monster Trucks,GBA,Majesco,Skyworks Technologies,,,0.6,2004,
3850,Doom 3 BFG Edition,PC,Bethesda Softworks,Unknown,5.9,5.4,0.6,2012,
3851,Wave Race: Blue Storm,GC,Nintendo,Nintendo Software Technology Corporation,8.4,,0.6,2001,
3852,Ben 10: Alien Force,PSP,D3 Publisher,Monkey Bar Games,5.2,,0.6,2008,
3853,Backyard Wrestling: Don't Try This at Home,PS2,Eidos Interactive,Paradox Development,6,,0.6,2003,
3854,FORCED,PC,BetaDwarf,Unknown,7.2,7.7,0.6,2013,
3855,Fight Night Round 2,XB,EA Sports,EA Sports,9,,0.6,2005,
3856,MonHun Nikki: Poka Poka Ailu Mura,PSP,Capcom,From Software,,,0.6,2010,
3857,NBA 2K8,PS2,2K Sports,Visual Concepts,7.5,,0.6,2007,
3858,Okami,Wii,Capcom,Ready at Dawn Studios,9,9.6,0.6,2008,
3859,NBA 2K7,X360,2K Sports,Visual Concepts,8.4,,0.6,2006,
3860,Beat Hazard,PC,Cold Beam Games,ShadowRage,7.6,,0.6,2010,
3861,Suikoden,PS,Konami,Konami,8.2,8,0.6,1996,
3862,Muramasa: The Demon Blade,Wii,Ignition Entertainment,Vanillaware,8,9.3,0.6,2009,10th Jan 19
3863,L.A. Noire,PS4,Rockstar Games,Team Bondi,7.6,7.9,0.6,2017,19th Jun 18
3864,Fighters Uncaged,X360,Ubisoft,AMA Studios,3.2,,0.6,2010,
3865,Secret Agent Clank,PS2,Sony Computer Entertainment,Sanzaru Games,7,,0.6,2009,
3866,Rayman Arena,PS2,Ubisoft,Ubisoft,6.7,,0.6,2002,
3867,Wolfenstein: The Old Blood,PC,Bethesda Softworks,MachineGames,7.6,7.7,0.6,2015,21st Apr 18
3868,Call of Juarez: Bound in Blood,X360,Ubisoft,Techland,7.6,,0.6,2009,
3869,Jaws Unleashed,PS2,Majesco,Appaloosa Interactive,,,0.6,2006,
3870,Puyo Puyo Sun,SAT,Compile,Compile,,,0.6,1997,
3871,Half-Life,PS2,Sierra Entertainment,Gearbox Software,8.4,,0.6,2001,
3872,The Golden Compass,DS,Sega,Shiny Entertainment,4,,0.6,2007,
3873,The Golden Compass,Wii,Sega,Shiny Entertainment,3.5,,0.6,2007,
3874,Split/Second,X360,Disney Interactive Studios,Black Rock Studio,8.4,,0.6,2010,
3875,Baldur's Gate: Tales of the Sword Coast,PC,Interplay,BioWare,8.1,,0.6,1999,
3876,International Superstar Soccer '98,N64,Konami,Konami,9.1,,0.6,1998,24th Sep 18
3877,International Superstar Soccer 64,N64,Konami,Konami Computer Entertainment Osaka,9,,0.6,1997,
3878,Mickey's Speedway USA,N64,Nintendo,Rare Ltd.,6.8,,0.6,2000,
3879,Ni no Kuni: Dominion of the Dark Djinn,DS,Level 5,Level 5/Studio Ghibli,,,0.6,2010,11th Jan 19
3880,Phantasy Star Portable 2,PSP,Sega,Alfa System,7.4,,0.6,2010,
3881,Shogun 2: Total War,PC,Sega,The Creative Assembly,9,,0.6,2011,
3882,TOCA Championship Racing,PS,3DO,Codemasters,8,,0.6,1998,
3883,NHL 17,XOne,EA Sports,EA Canada,7.7,4,0.6,2016,
3884,NASCAR Heat 2002,PS2,Infogrames,Monster Games Inc.,8.1,,0.6,2001,
3885,Littlest Pet Shop: Garden,DS,Electronic Arts,EA Salt Lake,,,0.6,2008,
3886,Transformers: The Game,X360,Activision,Traveller's Tales,5.2,,0.6,2007,
3887,From TV Animation One Piece: Grand Battle 2,PS,Bandai,Bandai,,,0.6,2002,
3888,BeatMania Append 3rdMix,PS,Konami,Konami,,,0.6,1998,
3889,Disney TH!NK Fast: The Ultimate Trivia Showdown,Wii,Disney Interactive Studios,Magenta Software,,,0.6,2008,
3890,Game of Thrones: A Telltale Games Series,PC,Telltale Games,Telltale Games,6.4,6.4,0.6,2014,04th Jan 19
3891,New Play Control! Donkey Kong Jungle Beat,Wii,Nintendo,Nintendo EAD Tokyo,8.4,,0.6,2009,
3892,Xena: Warrior Princess,PS,Electronic Arts,VU Games,6.5,,0.6,1999,
3893,Just Dance 2016,WiiU,Ubisoft,Ubisoft Paris,7.3,6.7,0.6,2015,05th Apr 18
3894,Tales of Zesteria,PS3,Namco Bandai Games,Unknown,,,0.6,2015,
3895,SimCity DS,DS,Electronic Arts,Aki Corporation,7,,0.6,2007,
3896,Front Mission,SNES,Square,G-Craft,,,0.6,1995,
3897,Lucius,PC,Lace Mamba Global,Shiver Games,6,6.1,0.6,2012,
3898,Gravity Rush,PSV,Sony Computer Entertainment,SCE Japan Studio,7.5,8.6,0.6,2012,20th Apr 18
3899,Major League Baseball 2K7,PS2,2K Sports,Kush Games,7,,0.6,2007,
3900,Black Mesa,PC,Valve Corporation,Black Mesa Team,8.6,8.9,0.6,2012,
3901,Dai-2-Ji Super Robot Taisen ?ñ,PS2,Banpresto,Banpresto,,,0.6,2003,
3902,PGR3 - Project Gotham Racing 3,X360,Microsoft Game Studios,Bizarre Creations,8.8,,0.6,2005,
3903,Littlest Pet Shop: Jungle,DS,Electronic Arts,EA Salt Lake,,,0.6,2008,
3904,Hyper Light Drifter,PC,Rebellion Games,Rebellion Games,8.4,8.3,0.6,2016,
3905,NHL 11,PS3,EA Sports,EA Canada,8.8,,0.59,2010,
3906,Hot Wheels: Stunt Track Challenge,PS2,THQ,Climax Group,6.5,,0.59,2004,
3907,Monopoly,X360,Electronic Arts,EA Bright Light,7,,0.59,2008,
3908,Jikkyou Powerful Pro Yakyuu '97 Kaimakuban,PS,Konami,Diamond Head,,,0.59,1997,
3909,Disney Sing It! High School Musical 3: Senior Year,Wii,Disney Interactive Studios,Zoe Mode,,,0.59,2009,
3910,CyberTiger,PS,Electronic Arts,EA Redwood Shores,,,0.59,1999,
3911,Jampack Fall 2001,PS,Sony Computer Entertainment,Sony Computer Entertainment America,,,0.59,2001,
3912,MLB 11: The Show,PS3,Sony Computer Entertainment,SCEA San Diego Studios,8.9,,0.59,2011,
3913,Medal of Honor: Frontline,GC,Electronic Arts,EA Los Angeles,8,,0.59,2002,
3914,Tales from the Borderlands,PC,Telltale Games,Telltale Games,,,0.59,2014,
3915,NFL Blitz 2001,PS,Midway Games,Midway Games,,,0.59,2000,
3916,LEGO Indiana Jones 2: The Adventure Continues,PSP,LucasArts,Traveller's Tales,5.2,,0.59,2009,
3917,Jikkyou Powerful Pro Yakyuu '98 Kaimakuban,PS,Konami,Diamond Head,,,0.59,1998,
3918,Waialae Country Club: True Golf Classics,N64,Nintendo,Tikipod,5.8,,0.59,1998,
3919,Rock Band 2,PS2,MTV Games,Harmonix Music Systems,7.9,,0.59,2008,
3920,Final Fantasy Anniversary Edition,PSP,Square Enix,Square Enix,7.4,,0.59,2007,
3921,Transformers: War for Cybertron,X360,Activision,High Moon Studios,7.3,,0.59,2010,
3922,Dead Space,PC,Electronic Arts,EA Redwood Shores,8.8,,0.59,2008,
3923,BurgerTime,2600,Mattel Interactive,Mattel,,,0.59,1982,
3924,Metal Gear Solid V: Ground Zeroes,PS3,Konami Digital Entertainment,Kojima Productions,8.5,,0.59,2014,22nd Mar 18
3925,Kane & Lynch 2: Dog Days,PS3,Square Enix,IO Interactive,6.3,,0.59,2010,
3926,2002 FIFA World Cup,PS2,EA Sports,EA Canada,7.9,,0.59,2002,
3927,MVP Baseball 2004,XB,EA Sports,EA Sports,9,,0.59,2004,
3928,Crash Bandicoot: The Wrath of Cortex,GC,Universal Interactive,Traveller's Tales,6,,0.59,2002,
3929,Skylanders: SuperChargers,WiiU,Activision,Vicarious Visions,8,,0.59,2015,06th Apr 18
3930,Smurf: Rescue In Gargamel's Castle,2600,Coleco,Coleco,,,0.59,1982,
3931,Beijing 2008,X360,Sega,Eurocom Entertainment Software,,,0.59,2008,
3932,Pokemon Trozei!,DS,Nintendo,Genius Sonority Inc.,,,0.59,2006,
3933,Titanfall,PC,Electronic Arts,Respawn Entertainment,8.9,6.2,0.59,2014,12th Jan 18
3934,Farming Simulator 2013,PC,Focus Home Interactive,Giants Software,7.1,7.5,0.59,2012,06th Jan 18
3935,Assassin's Creed: Brotherhood,PC,Ubisoft,Ubisoft Montreal,8.7,8.2,0.59,2011,
3936,Cave Story+,PC,Studio Pixel,Studio Pixel,,,0.59,2011,
3937,Extreme-G,N64,Acclaim Entertainment,Probe Entertainment Limited,7.9,,0.59,1997,
3938,Ready 2 Rumble Boxing,N64,Midway Games,Point of View,7.8,,0.59,1999,
3939,Yakuza 5,PS3,Sega,Sega,,,0.59,2015,02nd Jan 18
3940,Spelling Challenges and more!,DS,Crave Entertainment,Supersonic Software,,,0.59,2007,
3941,Killzone 2: DLC Bundle Pack,PSN,Konami Digital Entertainment,Guerrilla Games,,,0.59,2015,
3942,Dead or Alive Xtreme Beach Volleyball,XB,Tecmo,Team Ninja,6.6,,0.59,2003,
3943,Call of Duty: Black Ops,DS,Activision,n-Space,7,,0.59,2010,
3944,Disney Sing It: Family Hits,Wii,Disney Interactive Studios,Zoe Mode,6.5,,0.59,2010,
3945,Tales of Rebirth,PS2,Namco,Namco Tales Studio,,,0.59,2004,
3946,XCOM: Enemy Unknown,PS3,2K Games,Firaxis Games,9.1,,0.59,2012,22nd Mar 18
3947,WarioWare D.I.Y.,DS,Nintendo,Intelligent Systems,8.3,,0.59,2010,
3948,Shin Megami Tensei IV,3DS,Atlus,Atlus,8.3,6.2,0.59,2013,08th Jan 18
3949,Silent Hill: Shattered Memories,PS2,Konami,Climax Group,8,,0.59,2010,
3950,The Fight: Lights Out,PS3,Sony Computer Entertainment,ColdWood Interactive,4.7,,0.59,2010,
3951,Madden NFL 06,X360,EA Sports,EA Tiburon,7.7,,0.59,2005,
3952,Asphalt: Urban GT,DS,Ubisoft,Gameloft,5,,0.59,2004,
3953,Blur,X360,Activision,Bizarre Creations,8.3,,0.59,2010,
3954,Barbie: Race & Ride,PS,Mattel Interactive,Runecraft,,,0.59,1999,
3955,Hot Shots Golf: World Invitational,PSV,Sony Computer Entertainment,Clap Hanz,6.5,,0.59,2012,23rd Sep 18
3956,Hidden Agenda,PS4,Sony Interactive Entertainment,Supermassive Games Ltd.,6.6,6.6,0.59,2017,24th Sep 18
3957,Mega Man Anniversary Collection,PS2,Capcom,Atomic Planet Entertainment,8.5,,0.59,2004,
3958,SoulCalibur V,X360,Namco Bandai,Project Soul,,,0.59,2012,
3959,Remember Me,PC,Capcom,DONTNOD Entertainment,6.5,7.4,0.59,2013,02nd Feb 18
3960,Jeopardy!,Wii,THQ,"Pipeworks Software, Inc.",,,0.59,2010,
3961,Rayman Origins,PSV,Ubisoft,UBIart Montpellier,9,8.4,0.59,2012,
3962,Pro Evolution Soccer 2015,PS3,Konami Digital Entertainment,PES Productions,,,0.59,2014,14th Apr 18
3963,Alice: Madness Returns,PS3,Electronic Arts,Spicy Horse,6.7,,0.59,2011,
3964,Harvest Moon: Friends of Mineral Town,GBA,Natsume,TOSE Software,7.6,,0.59,2003,
3965,Backyard NBA Basketball,PS2,Atari,Humongous Entertainment,,,0.59,2003,
3966,Iron Man,Wii,Sega,Secret Level,5,,0.59,2008,
3967,Naruto: The Broken Bond,X360,Ubisoft,Ubisoft Montreal,7.6,,0.59,2008,
3968,Final Fantasy Explorers,3DS,Square Enix,Square Enix,7.3,8.5,0.59,2016,08th Jan 18
3969,Kirby's Dream Course,SNES,Nintendo,HAL Laboratory,7.5,,0.59,1995,
3970,Mega Man X7,PS2,Capcom,Capcom,6.7,,0.58,2003,
3971,Skylanders: Spyro's Adventure,3DS,Activision,Toys for Bob,8.2,5,0.58,2011,
3972,Call of Duty: Modern Warfare Remastered,PS4,Activision,Infinity Ward,8.3,6.9,0.58,2017,14th Jan 18
3973,SpongeBob SquarePants Featuring Nicktoons: Globs of Doom,PS2,THQ,Incinerator Studios,,,0.58,2008,
3974,Kinect Rush: A Disney Pixar Adventure,X360,Microsoft Studios,Asobo Studio,6,,0.58,2012,28th Sep 18
3975,Dragon Quest Builders: Revive Alefgard,PS4,Square Enix,Square Enix,,,0.58,2016,11th Jan 18
3976,Game Party in Motion,X360,Warner Bros. Interactive,FarSight Studios,,,0.58,2010,
3977,Tokimeki Memorial: Forever with You,PS,Konami,Konami,,,0.58,1995,
3978,LEGO Worlds,NS,Warner Bros. Interactive Entertainment,Traveller's Tales,5,7,0.58,2017,25th Feb 18
3979,Diablo,PS,Electronic Arts,Climax Group,8.3,,0.58,1998,
3980,GRID: Autosport,PC,Codemasters,Codemasters,,,0.58,2014,04th Nov 18
3981,TMNT,X360,Ubisoft,Ubisoft Montreal,6,,0.58,2007,
3982,Q*bert,2600,Parker Bros.,Gottlieb,,,0.58,1983,
3983,Farming Simulator 19,PC,Focus Home Interactive,Giants Software,7.3,6.5,0.58,2018,19th Dec 18
3984,Tekken 7,XOne,Namco Bandai Games,Namco Bandai Games,8.1,6.3,0.58,2017,15th Jan 18
3985,Lost: Via Domus,X360,Ubisoft,Ubisoft Montreal,5.5,,0.58,2008,
3986,Romancing SaGa,PS2,Square Enix,Square Enix,6,,0.58,2005,
3987,Top Spin 3,Wii,2K Sports,Pam Development,7,,0.58,2008,
3988,Sonic & Sega All-Stars Racing Transformed,X360,Sega,Sumo Digital,,,0.58,2012,03rd Dec 18
3989,Sly Cooper: Thieves in Time,PS3,Sony Computer Entertainment,Sanzaru Games,8,,0.58,2013,12th Apr 18
3990,Middle-Earth: Shadow of Mordor,PS3,Warner Bros. Interactive Entertainment,Monolith Productions,,,0.58,2014,04th May 18
3991,The Lord of the Rings: The Third Age,PS2,Electronic Arts,EA Redwood Shores,8.5,,0.58,2004,
3992,NCAA Football 09,PS3,EA Sports,EA Tiburon,8.4,,0.58,2008,
3993,NHL 12,PS3,EA Sports,EA Canada,8.6,,0.58,2011,
3994,Phineas and Ferb: Across the 2nd Dimension,Wii,Disney Interactive Studios,High Impact Games,,,0.58,2011,
3995,Cabela's Dangerous Hunts 2011,Wii,Activision,Cauldron,,,0.58,2010,
3996,Fable Anniversary,PC,Microsoft Studios,Lionhead Studios,,,0.58,2014,12th Aug 18
3997,LEGO The Lord of the Rings,PC,Warner Bros. Interactive Entertainment,Unknown,,,0.58,2012,
3998,Guitar Hero: Smash Hits,Wii,Activision,Neversoft Entertainment,7.5,,0.58,2009,
3999,Thomas Was Alone,PC,DECK13 Interactive GmbH,Mike Bithell Games,8,8.1,0.58,2012,10th May 18
4000,JoJo's Bizarre Adventure: All Star Battle,PS3,Namco Bandai Games,CyberConnect2,7.4,,0.58,2014,24th May 18
4001,Final Fantasy VIII,PC,Square EA,SquareSoft,8,,0.58,2000,
4002,Payday 2,X360,505 Games,Overkill Software,,,0.58,2013,08th Jan 18
4003,Octodad: Dadliest Catch,PC,Young Horses,Unknown,7.8,7.6,0.58,2014,
4004,Sammy Sosa High Heat Baseball 2001,PS,3DO,Team .366,5.5,,0.58,2000,
4005,Pro Evolution Soccer 2012,PSP,Konami,Konami,,,0.58,2011,
4006,Terminator 3: Rise of the Machines,PS2,Atari,Black Ops Entertainment,3.5,,0.58,2003,
4007,Deus Ex: Human Revolution,PC,Square Enix,Eidos Montreal,8.7,8.5,0.58,2011,
4008,DEFIANCE,X360,Trion Worlds,Trion Worlds,,,0.58,2013,
4009,FIFA Soccer 10,DS,EA Sports,Exient Entertainment,8,,0.58,2009,
4010,Tom Clancy's HAWX,X360,Ubisoft,Ubisoft Romania,6.9,,0.58,2009,
4011,FIFA: Road to World Cup 98,N64,EA Sports,EA Canada,,,0.58,1997,
4012,International Superstar Soccer '98,N64,Konami,Konami Computer Entertainment Osaka,9.1,,0.58,1998,
4013,World Cup 98,N64,EA Sports,EA Canada,8.8,,0.58,1998,
4014,Final Fantasy: The 4 Heroes of Light,DS,Square Enix,Matrix Software,7.2,,0.58,2010,
4015,Go Diego Go! Great Dinosaur Rescue,Wii,2K Play,High Voltage Software,,,0.58,2008,
4016,NASCAR: Dirt to Daytona,PS2,Infogrames,Monster Games Inc.,8.3,,0.58,2002,
4017,Kirby and the Rainbow Curse,WiiU,Nintendo,HAL Laboratory,8.2,8,0.58,2015,20th Mar 18
4018,Unreal Tournament,PS2,Infogrames,Epic Games,,,0.58,2000,
4019,Digimon World 2,PS,Bandai,Bandai,,,0.58,2001,
4020,F1 2013,PS3,Codemasters,Codemasters Birmingham,8,,0.58,2013,24th May 18
4021,Tales of Phantasia,PS,Namco,Namco Tales Studio / Wolfteam,,,0.58,1998,
4022,Prince of Persia: The Two Thrones,XB,Ubisoft,Ubisoft Montreal,8.8,,0.58,2005,
4023,Xenosaga Episode II: Jenseits von Gut und B??se,PS2,Namco,Monolith Soft,7.3,,0.58,2005,
4024,I Am Bread,PC,Bossa Studios,Bossa Studios,6,4.6,0.58,2015,11th Aug 18
4025,Gex: Enter The Gecko,PS,Midway Games,Crystal Dynamics,,,0.58,1998,
4026,Shrek 2: Beg for Mercy,GBA,Activision,Vicarious Visions,,,0.58,2004,
4027,Contra: Shattered Soldier,PS2,Konami,Konami Computer Entertainment Tokyo,7.3,,0.58,2002,
4028,Championship Motocross featuring Ricky Carmichael,PS,THQ,Funcom,7.5,,0.58,1999,
4029,Dragon Ball Z: Chou Saiya Densetsu,SNES,Bandai,TOSE,,,0.58,1992,
4030,Skate it,Wii,Electronic Arts,EA Montreal,6.6,,0.58,2008,
4031,Disney Magic World 2,3DS,Nintendo,High Horse Entertainment,7.5,,0.58,2016,08th Jan 18
4032,My Secret World by Imagine,DS,Ubisoft,Ubisoft Milan,6,,0.58,2008,
4033,Fire Emblem: Seisen no Keifu,SNES,Nintendo,Intelligent Systems,,,0.58,1996,
4034,ABZU,PC,505 Games,Giant Squid Studios,8.3,6.9,0.58,2016,01st Aug 18
4035,Tenchu 2: Birth of the Stealth Assassins,PS,Activision,Acquire,8.5,,0.58,2000,
4036,Tony Hawk's Pro Skater 4,GC,Activision,Neversoft Entertainment,9.2,,0.58,2002,
4037,Disgaea 4: A Promise Unforgotten,PS3,NIS America,Nippon Ichi Software,7.9,,0.58,2011,
4038,Doom 3 BFG Edition,PS3,Bethesda Softworks,Unknown,,,0.58,2012,
4039,Naruto: Uzumaki Chronicles 2,PS2,Namco Bandai,Cavia Inc.,5,,0.58,2007,
4040,NHL 06,PS2,EA Sports,EA Canada,8.5,,0.58,2005,
4041,Transformers: The Game,Wii,Activision,Traveller's Tales,6,,0.58,2007,
4042,NFL Blitz 2000,N64,Midway Games,Avalanche Software,9.2,,0.58,1999,
4043,Madden NFL 2002,XB,EA Sports,EA Sports,8.6,,0.58,2001,
4044,NCAA Football 10,PS2,EA Sports,EA Tiburon,8,,0.58,2009,
4045,Rapala: We Fish,Wii,Activision,FUN Labs,,,0.57,2009,
4046,Theme Park,PS,Electronic Arts,Bullfrog Productions,,,0.57,1995,
4047,The Lego Ninjago Movie Videogame,PS4,Warner Bros. Interactive Entertainment,Traveller's Tales,,,0.57,2017,29th May 18
4048,Far Cry Instincts,XB,Ubisoft,Ubisoft Montreal,9,,0.57,2005,
4049,ATV Offroad Fury: Blazin' Trails,PSP,Sony Computer Entertainment,Climax Group,5.9,,0.57,2005,
4050,Hasbro Family Game Night,PS2,Electronic Arts,EA Bright Light,7,,0.57,2008,
4051,Yokai Sangokushi,3DS,Level 5,Level 5,,,0.57,2016,08th Jan 18
4052,Tony Hawk's Pro Skater 4,GBA,Activision,Vicarious Visions,9.2,,0.57,2002,
4053,Tomb Raider: Anniversary,PSP,Eidos Interactive,Crystal Dynamics,7.7,,0.57,2007,
